uid,actual_name,wrong_name
1,Apple,App1e
2,Contract Logix,Contraco Logzx
3,Patagonia,Pata9onia
4,Apple,Appli
5,Procore Technologies,Procore Lechsologies
6,Procore Technologies,Procore oechoologies
7,Novartis,fovartBs
8,Dell,DWll
9,United Healthcare,Unitev HeaVthcare
10,JDEdwards,JDEdwprds
11,JDEdwards,JDEdwhrds
12,Ropes & Gray,Rop9A & Gray
13,Dell,Lell
14,WageWorks,WaOeWorks
15,WageWorks,WaHeWorks
16,Linkedin,3inkedin
17,Microsoft,Mi8rosCft
18,Apple,ipple
19,Ropes & Gray,Ro2es & Gray
20,Verizon,VeriKon
21,Contract Logix,Coltract Logij
22,Microsoft,Microsfft
23,Dell,Delr
24,Google,Goigle
25,Patagonia,Pataponia
26,Verizon,V1rizon
27,Ropes & Gray,R1pes 5 Gray
28,Procore Technologies,Procore Tecynolo4ies
29,HP,HG
30,Apple,ApNle
31,AstraZeneca,AvtraZenecw
32,Ropes & Gray,RJpes & Gray
33,HP,ZP
34,Boston Properties,joston Prgperties
35,AstraZeneca,Asto3Zenefa
36,Ropes & Gray,RopeG & Rray
37,Novartis,NOvaxtiy
38,Procore Technologies,Procore TFcInologies
39,Dell Technologies,Dell TechnologYes
40,WageWorks,WaLeWoCks
41,OpenAI,OpelA8
42,Google,Goog4e
43,JDEdwards,JDEdwkrds
44,JDEdwards,JDJVwards
45,United Healthcare,United HJalth2are
46,Dell Technologies,Dell Te9hnologies
47,Linkedin,LRnkedin
48,United Healthcare,Unite2 HealtCcare
49,WageWorks,EageWorks
50,United Healthcare,enited Healthcare
51,Verizon,Verzzon
52,Linkedin,Linkedim
53,AstraZeneca,AstraZXneca
54,Novartis,NovartiH
55,Novartis,NovartCs
56,Oracle,Oracpe
57,United Healthcare,United HCTltUNare
58,Dell Technologies,Dell7TechnolhgiQj
59,WageWorks,2ageWorks
60,United Healthcare,Fnitxd Healthcare
61,WageWorks,Wageoorks
62,Google,Grogle
63,WageWorks,WageJorks
64,Linkedin,Lin7e3in
65,JDEdwards,JDEdVards
66,AstraZeneca,4st4aZeneca
67,Patagonia,Pita5onix
68,Verizon,Vhuizon
69,Verizon,Verizog
70,JDEdwards,JD3dwards
71,AstraZeneca,AstraZen24a
72,HP,aP
73,Google,toogle
74,Procore Technologies,P5ocoro Technologies
75,Boston Properties,Boston Prapertieg
76,Novartis,NWvartis
77,Apple,Ag6le
78,Apple,pup0e
79,Microsoft,MYcrosoit
80,Boston Properties,Boston Pr8perties
81,Patagonia,Patagonqa
82,Boston Properties,FostEn Properties
